value,variable,units,years_post,treatment,study,forest_type,region,burn_season,thin_type,other,other2
5,fwd,Mg/ha,7,burn,stephens,Mixed Conifer,sierra_nevada,fall,NA,NA,NA
10,fwd,Mg/ha,0,thin,stephens,Mixed Conifer,sierra_nevada,NA,two_stage,NA,NA
17.1,fwd,Mg/ha,1,thin,stephens,Mixed Conifer,sierra_nevada,NA,two_stage,NA,NA
9.7,fwd,Mg/ha,7,thin,stephens,Mixed Conifer,sierra_nevada,NA,two_stage,NA,NA
12.1,fwd,Mg/ha,0,thinburn,stephens,Mixed Conifer,sierra_nevada,fall,two_stage,NA,NA
5,fwd,Mg/ha,1,thinburn,stephens,Mixed Conifer,sierra_nevada,fall,two_stage,NA,NA
5,fwd,Mg/ha,7,thinburn,stephens,Mixed Conifer,sierra_nevada,fall,two_stage,NA,NA
23.6,litter,Mg/ha,0,control,stephens,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
17.5,litter,Mg/ha,1,control,stephens,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
18.1,litter,Mg/ha,7,control,stephens,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
21.6,litter,Mg/ha,0,burn,stephens,Mixed Conifer,sierra_nevada,fall,NA,NA,NA
6.3,litter,Mg/ha,1,burn,stephens,Mixed Conifer,sierra_nevada,fall,NA,NA,NA
14.7,litter,Mg/ha,7,burn,stephens,Mixed Conifer,sierra_nevada,fall,NA,NA,NA
22.1,litter,Mg/ha,0,thin,stephens,Mixed Conifer,sierra_nevada,NA,two_stage,NA,NA
19.8,litter,Mg/ha,1,thin,stephens,Mixed Conifer,sierra_nevada,NA,two_stage,NA,NA
19.3,litter,Mg/ha,7,thin,stephens,Mixed Conifer,sierra_nevada,NA,two_stage,NA,NA
22.4,litter,Mg/ha,0,thinburn,stephens,Mixed Conifer,sierra_nevada,fall,two_stage,NA,NA
6.3,litter,Mg/ha,1,thinburn,stephens,Mixed Conifer,sierra_nevada,fall,two_stage,NA,NA
13.8,litter,Mg/ha,7,thinburn,stephens,Mixed Conifer,sierra_nevada,fall,two_stage,NA,NA
50.6,duff,Mg/ha,0,control,stephens,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
45.2,duff,Mg/ha,1,control,stephens,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
51.4,duff,Mg/ha,7,control,stephens,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
49.1,duff,Mg/ha,0,burn,stephens,Mixed Conifer,sierra_nevada,fall,NA,NA,NA
4.7,duff,Mg/ha,1,burn,stephens,Mixed Conifer,sierra_nevada,fall,NA,NA,NA
9.4,duff,Mg/ha,7,burn,stephens,Mixed Conifer,sierra_nevada,fall,NA,NA,NA
49.1,duff,Mg/ha,0,thin,stephens,Mixed Conifer,sierra_nevada,NA,two_stage,NA,NA
35.8,duff,Mg/ha,1,thin,stephens,Mixed Conifer,sierra_nevada,NA,two_stage,NA,NA
46,duff,Mg/ha,7,thin,stephens,Mixed Conifer,sierra_nevada,NA,two_stage,NA,NA
59.2,duff,Mg/ha,0,thinburn,stephens,Mixed Conifer,sierra_nevada,fall,two_stage,NA,NA
3.9,duff,Mg/ha,1,thinburn,stephens,Mixed Conifer,sierra_nevada,fall,two_stage,NA,NA
10.1,duff,Mg/ha,7,thinburn,stephens,Mixed Conifer,sierra_nevada,fall,two_stage,NA,NA
0.38,torching_probability,decimal,0,control,stephens,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
0.39,torching_probability,decimal,1,control,stephens,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
0.51,torching_probability,decimal,7,control,stephens,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
0.46,torching_probability,decimal,0,burn,stephens,Mixed Conifer,sierra_nevada,fall,NA,NA,NA
0,torching_probability,decimal,1,burn,stephens,Mixed Conifer,sierra_nevada,fall,NA,NA,NA
0.04,torching_probability,decimal,7,burn,stephens,Mixed Conifer,sierra_nevada,fall,NA,NA,NA
0.33,torching_probability,decimal,0,thin,stephens,Mixed Conifer,sierra_nevada,NA,two_stage,NA,NA
0.36,torching_probability,decimal,1,thin,stephens,Mixed Conifer,sierra_nevada,NA,two_stage,NA,NA
0.14,torching_probability,decimal,7,thin,stephens,Mixed Conifer,sierra_nevada,NA,two_stage,NA,NA
0.33,torching_probability,decimal,0,thinburn,stephens,Mixed Conifer,sierra_nevada,fall,two_stage,NA,NA
0,torching_probability,decimal,1,thinburn,stephens,Mixed Conifer,sierra_nevada,fall,two_stage,NA,NA
0.03,torching_probability,decimal,7,thinburn,stephens,Mixed Conifer,sierra_nevada,fall,two_stage,NA,NA
8,flame_length,meters,0,control,stephens,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
8.3,flame_length,meters,1,control,stephens,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
9.6,flame_length,meters,7,control,stephens,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
7.5,flame_length,meters,0,burn,stephens,Mixed Conifer,sierra_nevada,fall,NA,NA,NA
3.6,flame_length,meters,1,burn,stephens,Mixed Conifer,sierra_nevada,fall,NA,NA,NA
1.9,flame_length,meters,7,burn,stephens,Mixed Conifer,sierra_nevada,fall,NA,NA,NA
4.6,flame_length,meters,0,thin,stephens,Mixed Conifer,sierra_nevada,NA,two_stage,NA,NA
3.9,flame_length,meters,1,thin,stephens,Mixed Conifer,sierra_nevada,NA,two_stage,NA,NA
1.2,flame_length,meters,7,thin,stephens,Mixed Conifer,sierra_nevada,NA,two_stage,NA,NA
6.4,flame_length,meters,0,thinburn,stephens,Mixed Conifer,sierra_nevada,fall,two_stage,NA,NA
0.4,flame_length,meters,1,thinburn,stephens,Mixed Conifer,sierra_nevada,fall,two_stage,NA,NA
0.7,flame_length,meters,7,thinburn,stephens,Mixed Conifer,sierra_nevada,fall,two_stage,NA,NA
0.093,canopy_bulk_density,kg/m3,0,control,stephens,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
0.095,canopy_bulk_density,kg/m3,1,control,stephens,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
0.094,canopy_bulk_density,kg/m3,7,control,stephens,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
0.088,canopy_bulk_density,kg/m3,0,burn,stephens,Mixed Conifer,sierra_nevada,fall,NA,NA,NA
0.087,canopy_bulk_density,kg/m3,1,burn,stephens,Mixed Conifer,sierra_nevada,fall,NA,NA,NA
0.076,canopy_bulk_density,kg/m3,7,burn,stephens,Mixed Conifer,sierra_nevada,fall,NA,NA,NA
0.078,canopy_bulk_density,kg/m3,0,thin,stephens,Mixed Conifer,sierra_nevada,NA,two_stage,NA,NA
0.052,canopy_bulk_density,kg/m3,1,thin,stephens,Mixed Conifer,sierra_nevada,NA,two_stage,NA,NA
0.053,canopy_bulk_density,kg/m3,7,thin,stephens,Mixed Conifer,sierra_nevada,NA,two_stage,NA,NA
0.08,canopy_bulk_density,kg/m3,0,thinburn,stephens,Mixed Conifer,sierra_nevada,fall,two_stage,NA,NA
0.049,canopy_bulk_density,kg/m3,1,thinburn,stephens,Mixed Conifer,sierra_nevada,fall,two_stage,NA,NA
0.044,canopy_bulk_density,kg/m3,7,thinburn,stephens,Mixed Conifer,sierra_nevada,fall,two_stage,NA,NA
5.2,canopy_base_height,meters,0,control,stephens,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
5,canopy_base_height,meters,1,control,stephens,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
3.6,canopy_base_height,meters,7,control,stephens,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
4.3,canopy_base_height,meters,0,burn,stephens,Mixed Conifer,sierra_nevada,fall,NA,NA,NA
4.7,canopy_base_height,meters,1,burn,stephens,Mixed Conifer,sierra_nevada,fall,NA,NA,NA
6.2,canopy_base_height,meters,7,burn,stephens,Mixed Conifer,sierra_nevada,fall,NA,NA,NA
5.6,canopy_base_height,meters,0,thin,stephens,Mixed Conifer,sierra_nevada,NA,two_stage,NA,NA
8.1,canopy_base_height,meters,1,thin,stephens,Mixed Conifer,sierra_nevada,NA,two_stage,NA,NA
4.5,canopy_base_height,meters,7,thin,stephens,Mixed Conifer,sierra_nevada,NA,two_stage,NA,NA
4.2,canopy_base_height,meters,0,thinburn,stephens,Mixed Conifer,sierra_nevada,fall,two_stage,NA,NA
7.6,canopy_base_height,meters,1,thinburn,stephens,Mixed Conifer,sierra_nevada,fall,two_stage,NA,NA
8.1,canopy_base_height,meters,7,thinburn,stephens,Mixed Conifer,sierra_nevada,fall,two_stage,NA,NA
12.9,litter,Mg/ha,4.6,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
12.9,litter,Mg/ha,13,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
10.5,litter,Mg/ha,43.5,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
13.3,litter,Mg/ha,65,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
10.3,litter,Mg/ha,80,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
0.33,one_hour,Mg/ha,4.6,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
0.35,one_hour,Mg/ha,13,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
0.15,one_hour,Mg/ha,43.5,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
0.43,one_hour,Mg/ha,65,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
0.21,one_hour,Mg/ha,80,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
1.2,ten_hour,Mg/ha,4.6,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
1.84,ten_hour,Mg/ha,13,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
1.29,ten_hour,Mg/ha,43.5,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
1.7,ten_hour,Mg/ha,65,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
0.69,ten_hour,Mg/ha,80,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
2.06,hundred_hour,Mg/ha,4.6,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
6.59,hundred_hour,Mg/ha,13,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
3.97,hundred_hour,Mg/ha,43.5,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
2.85,hundred_hour,Mg/ha,65,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
1.43,hundred_hour,Mg/ha,80,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
4.44,thousand_sound,Mg/ha,4.6,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
2.99,thousand_sound,Mg/ha,13,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
2.97,thousand_sound,Mg/ha,43.5,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
4.13,thousand_sound,Mg/ha,65,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
1.64,thousand_sound,Mg/ha,80,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
0.52,thousand_rotten,Mg/ha,4.6,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
5.37,thousand_rotten,Mg/ha,13,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
1.85,thousand_rotten,Mg/ha,43.5,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
1.72,thousand_rotten,Mg/ha,65,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
0.38,thousand_rotten,Mg/ha,80,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
7,duff,Mg/ha,4.6,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
3.7,duff,Mg/ha,13,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
4.2,duff,Mg/ha,43.5,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
9.9,duff,Mg/ha,65,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
8.9,duff,Mg/ha,80,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
85,torching_index,km/hour,4.6,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
15,torching_index,km/hour,13,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
17,torching_index,km/hour,43.5,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
90,crowning_index,km/hour,4.6,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
29,crowning_index,km/hour,13,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
58,crowning_index,km/hour,43.5,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
8,canopy_base_height,meters,4.6,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
1.2,canopy_base_height,meters,13,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
1.5,canopy_base_height,meters,43.5,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
17,basal_area,m2/ha,2,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
13.9,basal_area,m2/ha,6,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
16.1,basal_area,m2/ha,6,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
10.7,basal_area,m2/ha,13,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
8.6,basal_area,m2/ha,40,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
17.8,basal_area,m2/ha,47,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
19.9,basal_area,m2/ha,65,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
15.6,basal_area,m2/ha,80,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
395,density,trees/ha,2,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
533,density,trees/ha,6,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
487,density,trees/ha,6,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
259,density,trees/ha,13,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
188,density,trees/ha,40,burn,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
314,density,trees/ha,47,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
532,density,trees/ha,65,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
309,density,trees/ha,80,wildfire_low,battaglia,Ponderosa Pine,black_hills,unknown,NA,NA,NA
0.8,flame_length,meters,0,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,stylized,max_one_minute
1.1,flame_length,meters,0,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,custom,max_one_minute
0.5,flame_length,meters,1,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,stylized,max_one_minute
0.5,flame_length,meters,1,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,custom,max_one_minute
0.7,flame_length,meters,2,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,stylized,max_one_minute
0.6,flame_length,meters,2,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,custom,max_one_minute
1.4,flame_length,meters,5,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,stylized,max_one_minute
1.2,flame_length,meters,5,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,custom,max_one_minute
0.9,flame_length,meters,8,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,stylized,max_one_minute
1,flame_length,meters,8,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,custom,max_one_minute
1.8,flame_length,meters,0,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,stylized,max_gust
2.4,flame_length,meters,0,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,custom,max_gust
1.4,flame_length,meters,1,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,stylized,max_gust
1.1,flame_length,meters,1,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,custom,max_gust
1.7,flame_length,meters,2,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,stylized,max_gust
1.4,flame_length,meters,2,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,custom,max_gust
2.4,flame_length,meters,5,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,stylized,max_gust
2.1,flame_length,meters,5,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,custom,max_gust
1.8,flame_length,meters,8,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,stylized,max_gust
2.2,flame_length,meters,8,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,custom,max_gust
11.5,fwd,Mg/ha,0,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,stylized,NA
16.4,fwd,Mg/ha,0,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,custom,NA
7.2,fwd,Mg/ha,1,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,stylized,NA
6.8,fwd,Mg/ha,1,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,custom,NA
8.9,fwd,Mg/ha,2,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,stylized,NA
8.9,fwd,Mg/ha,2,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,custom,NA
11.1,fwd,Mg/ha,5,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,stylized,NA
13.7,fwd,Mg/ha,5,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,custom,NA
11.3,fwd,Mg/ha,8,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,stylized,NA
15.5,fwd,Mg/ha,8,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,custom,NA
2.4,live_fuels,Mg/ha,0,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,stylized,NA
1.7,live_fuels,Mg/ha,0,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,custom,NA
2.1,live_fuels,Mg/ha,1,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,stylized,NA
0.7,live_fuels,Mg/ha,1,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,custom,NA
1.7,live_fuels,Mg/ha,2,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,stylized,NA
0.7,live_fuels,Mg/ha,2,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,custom,NA
1.5,live_fuels,Mg/ha,5,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,stylized,NA
1.7,live_fuels,Mg/ha,5,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,custom,NA
1.7,live_fuels,Mg/ha,8,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,stylized,NA
2.5,live_fuels,Mg/ha,8,burn,noonan-wright,Mixed Conifer,sierra_nevada,unknown,NA,custom,NA
816,density,trees/ha,0,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
525,density,trees/ha,1.5,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
348,density,trees/ha,5.5,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
291,density,trees/ha,10,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
557,density,trees/ha,0,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
380,density,trees/ha,1.5,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
342,density,trees/ha,5.5,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
285,density,trees/ha,10,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
842,density,trees/ha,0,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
671,density,trees/ha,1.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
361,density,trees/ha,5.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
513,density,trees/ha,10,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
132.1,basal_area,m2/ha,0,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
118.8,basal_area,m2/ha,1.5,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
126.1,basal_area,m2/ha,5.5,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
124.8,basal_area,m2/ha,10,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
43.6,basal_area,m2/ha,0,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
41.2,basal_area,m2/ha,1.5,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
38.8,basal_area,m2/ha,5.5,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
44.8,basal_area,m2/ha,10,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
23,basal_area,m2/ha,0,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
24.2,basal_area,m2/ha,1.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
23,basal_area,m2/ha,5.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
21.8,basal_area,m2/ha,10,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
41.2,duff,Mg/ha,0,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
4.9,duff,Mg/ha,1.5,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
12.4,duff,Mg/ha,5.5,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
18.1,duff,Mg/ha,10,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
7.4,litter,Mg/ha,0,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
3.3,litter,Mg/ha,1.5,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
4.9,litter,Mg/ha,5.5,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
4.1,litter,Mg/ha,10,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
10.7,fwd,Mg/ha,0,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
5.8,fwd,Mg/ha,1.5,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
9.1,fwd,Mg/ha,5.5,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
9.9,fwd,Mg/ha,10,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
48.7,cwd,Mg/ha,0,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
27.2,cwd,Mg/ha,1.5,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
42.1,cwd,Mg/ha,5.5,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
63.5,cwd,Mg/ha,10,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
33,duff,Mg/ha,0,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
7.4,duff,Mg/ha,1.5,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
10.7,duff,Mg/ha,5.5,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
14.8,duff,Mg/ha,10,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
12.4,litter,Mg/ha,0,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
4.9,litter,Mg/ha,1.5,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
4.9,litter,Mg/ha,5.5,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
5.8,litter,Mg/ha,10,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
8.2,fwd,Mg/ha,0,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
4.1,fwd,Mg/ha,1.5,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
5.8,fwd,Mg/ha,5.5,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
7.4,fwd,Mg/ha,10,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
52,cwd,Mg/ha,0,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
29.7,cwd,Mg/ha,1.5,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
33.8,cwd,Mg/ha,5.5,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
59.4,cwd,Mg/ha,10,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
28,duff,Mg/ha,0,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
23.1,duff,Mg/ha,1.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
22.3,duff,Mg/ha,5.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
18.1,duff,Mg/ha,10,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
8.2,litter,Mg/ha,0,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
4.1,litter,Mg/ha,1.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
5.8,litter,Mg/ha,5.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
5.8,litter,Mg/ha,10,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
6.6,fwd,Mg/ha,0,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
5.8,fwd,Mg/ha,1.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
4.9,fwd,Mg/ha,5.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
8.2,fwd,Mg/ha,10,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
21.4,cwd,Mg/ha,0,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
11.5,cwd,Mg/ha,1.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
14.8,cwd,Mg/ha,5.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
18.1,cwd,Mg/ha,10,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
4.4,canopy_base_height,meters,0,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
